participantId,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01
0.0,5647.804674783961,13497.30690002274,21291.95702456652,29056.78842639823,36284.8941587283,43927.6854908424,51672.99894364856,59619.51675546453,67481.8934318405,75287.19253707801,83248.18733324234,90722.79800501568,98331.68728847727,106294.60424894236,113085.6664160482
1.0,4255.881650854066,10543.90174341488,17157.822027133767,23573.715725038208,30052.266335640863,36750.7799807984,43305.79116220358,49908.24779543234,56463.02724877741,62681.96020682677,69063.51230619865,75491.8839056339,81956.61597401938,88575.3399959808,94231.29420267024
2.0,4515.623552956316,10199.853841126796,15871.061730949616,21642.372344361585,27311.846118947284,33024.482206518194,38730.73179526173,44404.31933265436,50115.55680077127,55923.65535505053,61712.91032455935,67263.59061964817,72704.12881320567,78448.8127666982,83415.14682203963
3.0,4266.725346646624,9672.907819349995,15078.934875084806,20157.079651620945,25695.060000404377,31132.232304024477,36432.81094360799,41758.78973969925,47255.790529446254,52803.945400946126,58383.54334530052,63722.00225973145,69002.34188105956,74512.28963464602,79095.02236449816
4.0,3514.953609529491,9842.619499434611,16573.895178762203,23516.39555616334,30511.002623625125,37626.115979018105,44625.03474370237,51475.01532793799,58341.722128883215,65312.23538594693,72314.16764165151,79036.04917689644,85771.73025762755,92733.68480686136,98582.99789727456
5.0,1555.969043521268,1855.5482431433268,2201.8277552636782,2410.2638190672183,2732.7490194117136,3097.822652633484,3468.798054322308,3959.601550577984,4472.846911179418,4921.280818754756,5148.10823582785,5485.182134121956,5872.565750390912,6361.561051589821,6697.9662720466495
6.0,1206.9805737655524,1243.053624559058,1409.5860337254026,1761.757586478479,1975.4665492798515,2123.171206967316,2256.7066463997103,2572.433231233464,2844.661004035101,2958.707060553009,3304.377057303093,3798.55459686808,4196.292214946655,4491.407011545887,4725.559227776643
7.0,3023.556025820993,6487.251149561649,10185.382573326768,13998.361872816007,17830.998550119213,21747.909555186816,25709.491039818076,29622.93356543602,33579.734356473986,37545.84673351246,41582.16365501507,45393.567915717664,49259.493374149206,53139.909440675816,56390.67101055951
8.0,1730.3816999599935,3114.24341940809,4431.653884857932,5852.4472533628295,7225.29655803615,8526.06549254234,9872.90141425709,11247.90697170902,12637.194654356086,13979.105200256292,15322.326928356146,16606.359907803097,17913.484309497508,19311.63533511385,20361.279706904334
9.0,7804.232556447742,18968.76389485664,30158.94760009412,41369.934195394206,52493.00463019461,63872.06875675811,75091.72451206262,86265.87262554673,97470.92404762447,108570.82669795943,119943.8934907929,130782.27873305471,141607.08749929653,152695.71417166988,162355.50164016156
10.0,3968.431659759429,9083.488410377937,14231.503293618269,19555.93366512568,24883.31396294024,30138.0580913096,35367.73122983792,40605.379472313216,45817.72052614351,51012.815120921696,56330.73329647935,61394.44784743364,66429.26010184771,71701.57958046849,76150.01833230689
11.0,4026.0727853585568,9046.86304273076,14421.352791581508,19717.43725772769,24813.585299294064,30103.4615449514,35135.99730868784,40264.06442627485,45527.19122968927,50690.87880311284,56088.375248921686,61116.28953273093,66252.07058799491,71386.55442391885,75784.27642853779
12.0,3578.7367464634185,8224.66734076228,13035.374038555785,17824.379533870248,22551.514620993614,27065.50329733018,32016.330465812745,36850.64282012558,41883.24872947957,46791.26890256212,51805.743377356535,56402.475444813776,61153.554106446834,66122.26182635708,70418.8540695374
13.0,2394.7522850580062,5615.405282765073,8904.863008987579,12139.299780898087,15408.664084835103,18717.48520675314,22040.67775043297,25350.995317471206,28816.78201126326,32347.56309695043,35824.47256854217,39029.65581978741,42154.58615746287,45388.17323115924,48168.06907648592
14.0,4609.626145771796,9392.384484906775,14304.901634989908,19278.64772610549,24283.302686898027,29330.55384536573,34297.69912669025,39284.910383922266,44283.91539354093,49265.15571694456,54314.52890934018,59158.81540277634,64000.38033819066,68996.86797091401,73198.31825188326
15.0,3792.2576141481536,8633.332260055215,13428.523276098877,18209.074395903797,23242.115340635464,28335.750459986317,33226.40227044467,37990.1503642673,42900.86854523649,47889.860492666005,53014.23750754436,57749.50743430747,62535.493826820486,67523.87827047947,71812.95233315184
