month,participantId,monthlyAvgBalance,monthlyFoodBudget,monthlyExtraBudget,monthlySalary,educationRequirement,rentalCost,Cluster
2022-03-01 00:00:00,0.0,5647.804674783924,360.0,10571.38736290509,8225.600056,HighSchoolOrCollege,965.66,C5
2022-03-01 00:00:00,1.0,4255.881650854063,360.0,7560.27965756532,7228.2273248,HighSchoolOrCollege,615.6,C5
2022-03-01 00:00:00,2.0,4515.62355295631,480.0,8076.41538555677,6334.9123152,HighSchoolOrCollege,974.58,C5
2022-03-01 00:00:00,3.0,4266.725346646644,360.0,6680.27815555822,6122.8125504,HighSchoolOrCollege,1100.37,C5
2022-03-01 00:00:00,4.0,3514.9536095295107,600.0,14107.025379097564,3046.987928,Bachelors,872.51,C5
2022-03-01 00:00:00,5.0,1555.96904352125,600.0,3361.1754971656765,1600.0,HighSchoolOrCollege,851.43,C3
2022-03-01 00:00:00,6.0,1206.9805737655563,600.0,2419.4602445997093,1627.0085712,HighSchoolOrCollege,760.91,C3
2022-03-01 00:00:00,7.0,3023.556025820978,600.0,10194.019921893894,5319.4036048,Bachelors,1195.4,C4
2022-03-01 00:00:00,8.0,1730.3816999599978,600.0,4393.05797554687,3189.0567952,Bachelors,846.42,C3
2022-03-01 00:00:00,9.0,7804.232556447752,480.0,14829.067808834296,11348.5684608,Bachelors,945.53,C2
2022-03-01 00:00:00,10.0,3968.431659759447,480.0,7169.856265739199,5911.7312416,HighSchoolOrCollege,668.99,C4
2022-03-01 00:00:00,11.0,4026.072785358582,360.0,6948.953295982909,5982.6035984,HighSchoolOrCollege,828.1480252965923,C4
2022-03-01 00:00:00,12.0,3578.7367464634267,360.0,3918.893448555949,5708.871128,HighSchoolOrCollege,694.08,C4
2022-03-01 00:00:00,13.0,2394.752285057999,600.0,8126.631762225917,5156.788374400001,Bachelors,821.71,C4
2022-03-01 00:00:00,14.0,4609.626145771823,600.0,14902.74219796042,6381.604694400001,Graduate,834.83,C4
2022-03-01 00:00:00,15.0,3792.257614148159,360.0,4265.291251007491,5577.444609599999,HighSchoolOrCollege,660.88,C4
2022-03-01 00:00:00,16.0,6369.2258442026505,480.0,11585.806893052822,8686.4082864,Bachelors,472.77,C5
2022-03-01 00:00:00,17.0,10049.953988288791,360.0,20290.528627786596,16000.0,Bachelors,965.66,C2
2022-03-01 00:00:00,18.0,10385.63273273416,360.0,20642.813200690096,16000.0,Graduate,894.76,C2
2022-03-01 00:00:00,19.0,5260.9900660861085,480.0,9983.00199053539,8162.3311632,Bachelors,790.08,C5
2022-03-01 00:00:00,20.0,3760.3323510632895,480.0,6510.258799553545,5312.4498864,HighSchoolOrCollege,995.81,C4
2022-03-01 00:00:00,21.0,618.9950070055187,600.0,1150.3255463515409,2095.2231872,Low,1458.69,C3
2022-03-01 00:00:00,22.0,1326.2273039968777,600.0,3340.5308853375395,2982.4252464,HighSchoolOrCollege,940.61,C3
2022-03-01 00:00:00,23.0,2704.317385857464,360.0,4612.89341000434,4635.0269728,Low,819.83,C4
2022-03-01 00:00:00,24.0,5367.784612503514,480.0,9563.19771137656,7260.0517488,Bachelors,1053.44,C5
2022-03-01 00:00:00,25.0,3731.310681133644,480.0,6423.714747166709,5200.1608048,HighSchoolOrCollege,1313.14,C4
2022-03-01 00:00:00,26.0,3165.266113220326,480.0,5525.127348458796,4881.830464000001,HighSchoolOrCollege,829.03,C4
2022-03-01 00:00:00,27.0,3710.873122318095,360.0,5773.305440420341,5572.172904,HighSchoolOrCollege,926.95,C4
2022-03-01 00:00:00,28.0,8227.265010511968,360.0,15896.110877386334,12332.9357552,Bachelors,576.77,C2
2022-03-01 00:00:00,29.0,2560.8178151478983,480.0,4384.27135927581,4066.9268,Low,516.66,C4
2022-03-01 00:00:00,30.0,464.2266316150457,600.0,277.8418259110504,1717.5919888,HighSchoolOrCollege,969.72,C3
2022-03-01 00:00:00,31.0,10071.359749921818,360.0,12774.961278995872,13429.5140352,Graduate,577.72,C2
2022-03-01 00:00:00,32.0,3610.98495365041,360.0,6266.353330345598,5423.8404784,HighSchoolOrCollege,413.72,C4
2022-03-01 00:00:00,33.0,7559.707476730272,360.0,13832.979678733083,10935.9552144,Bachelors,875.13,C2
2022-03-01 00:00:00,34.0,1193.1136256010982,600.0,3869.58146967114,3675.0577728,Low,842.94,C1
2022-03-01 00:00:00,35.0,881.5947726602698,600.0,1664.4242667107148,1730.6373232,Low,372.18,C3
2022-03-01 00:00:00,36.0,8881.463410418553,480.0,17204.051545433682,13277.3993744,Graduate,1135.74,C2
2022-03-01 00:00:00,37.0,3548.6818983672065,360.0,5607.644541265678,5363.1976864,HighSchoolOrCollege,1190.3,C4
2022-03-01 00:00:00,38.0,2840.8551275765685,360.0,5056.27591287122,4501.5551584,Low,925.72,C4
