month,participantId,apartmentId,jobId,monthlyAvgBalance,monthlyFoodBudget,monthlyExtraBudget,Cluster
2022-03-01 00:00:00,0.0,926.0,254.0,5647.8046747839235,360.0,10571.38736290509,C5
2022-03-01 00:00:00,1.0,928.0,929.0,4255.881650854063,360.0,7560.27965756532,C5
2022-03-01 00:00:00,2.0,291.0,348.0,4515.62355295631,480.0,8076.41538555677,C5
2022-03-01 00:00:00,3.0,1243.0,316.0,4266.725346646644,360.0,6680.27815555822,C5
2022-03-01 00:00:00,4.0,375.0,332.0,3514.9536095295107,600.0,14107.025379097564,C5
2022-03-01 00:00:00,5.0,243.0,33.0,1555.9690435212501,600.0,3361.1754971656765,C3
2022-03-01 00:00:00,6.0,183.0,89.0,1206.9805737655565,600.0,2419.4602445997093,C3
2022-03-01 00:00:00,7.0,97.0,270.0,3023.556025820978,600.0,10194.019921893894,C4
2022-03-01 00:00:00,8.0,321.0,20.0,1730.3816999599978,600.0,4393.05797554687,C3
2022-03-01 00:00:00,9.0,355.0,21.0,7804.232556447752,480.0,14829.067808834297,C2
2022-03-01 00:00:00,10.0,91.0,29.0,3968.4316597594466,480.0,7169.856265739199,C4
2022-03-01 00:00:00,11.0,1582.0,625.0,4026.072785358582,360.0,6948.953295982909,C4
2022-03-01 00:00:00,12.0,1198.0,1205.0,3578.7367464634267,360.0,3918.8934485559485,C4
2022-03-01 00:00:00,13.0,141.0,330.0,2394.752285057999,600.0,8126.631762225917,C4
2022-03-01 00:00:00,14.0,66.0,139.0,4609.626145771823,600.0,14902.742197960419,C4
2022-03-01 00:00:00,15.0,930.0,730.0,3792.2576141481586,360.0,4265.291251007491,C4
2022-03-01 00:00:00,16.0,101.0,297.0,6369.2258442026505,480.0,11585.806893052822,C5
2022-03-01 00:00:00,17.0,1003.0,603.0,10049.953988288793,360.0,20290.528627786593,C2
2022-03-01 00:00:00,18.0,482.0,278.0,10385.63273273416,360.0,20642.813200690096,C2
2022-03-01 00:00:00,19.0,276.0,206.0,5260.9900660861085,480.0,9983.00199053539,C5
2022-03-01 00:00:00,20.0,301.0,342.0,3760.3323510632904,480.0,6510.258799553545,C4
2022-03-01 00:00:00,21.0,169.0,301.0,618.9950070055187,600.0,1150.3255463515409,C3
2022-03-01 00:00:00,22.0,88.0,102.0,1326.2273039968777,600.0,3340.5308853375395,C3
2022-03-01 00:00:00,23.0,532.0,1037.0,2704.3173858574637,360.0,4612.89341000434,C4
2022-03-01 00:00:00,24.0,309.0,57.0,5367.784612503514,480.0,9563.197711376559,C5
2022-03-01 00:00:00,25.0,273.0,159.0,3731.310681133644,480.0,6423.714747166709,C4
2022-03-01 00:00:00,26.0,371.0,194.0,3165.266113220326,480.0,5525.1273484587955,C4
2022-03-01 00:00:00,27.0,1239.0,585.0,3710.873122318095,360.0,5773.305440420341,C4
2022-03-01 00:00:00,28.0,1254.0,1244.0,8227.265010511968,360.0,15896.110877386334,C2
2022-03-01 00:00:00,29.0,344.0,80.0,2560.8178151478983,480.0,4384.27135927581,C4
2022-03-01 00:00:00,30.0,284.0,1119.0,464.22663161504573,600.0,277.84182591105036,C3
2022-03-01 00:00:00,31.0,810.0,932.0,10071.359749921818,360.0,12774.961278995872,C2
2022-03-01 00:00:00,32.0,1146.0,832.0,3610.9849536504094,360.0,6266.353330345598,C4
2022-03-01 00:00:00,33.0,1397.0,803.0,7559.707476730272,360.0,13832.979678733085,C2
2022-03-01 00:00:00,34.0,145.0,319.0,1193.1136256010982,600.0,3869.58146967114,C1
2022-03-01 00:00:00,35.0,215.0,294.0,881.5947726602698,600.0,1664.4242667107148,C3
2022-03-01 00:00:00,36.0,111.0,212.0,8881.463410418553,480.0,17204.051545433682,C2
2022-03-01 00:00:00,37.0,1080.0,367.0,3548.6818983672065,360.0,5607.644541265678,C4
2022-03-01 00:00:00,38.0,1216.0,1022.0,2840.8551275765685,360.0,5056.27591287122,C4
2022-03-01 00:00:00,39.0,188.0,171.0,2663.647482177744,600.0,7478.3078378210175,C1
2022-03-01 00:00:00,40.0,977.0,228.0,561.7624625213703,600.0,743.1886241542154,C3
