month,participantId,apartmentId,jobId,monthlyAvgBalance,monthlyFoodBudget,monthlyExtraBudget
2022-03-01,0,926,254,5647.804674783961,360.0,10571.387362905138
2022-03-01,1,928,929,4255.881650854066,360.0,7560.279657565372
2022-03-01,2,291,348,4515.6235529563155,480.0,8076.41538555678
2022-03-01,3,1243,316,4266.725346646624,360.0,6680.278155558259
2022-03-01,4,375,332,3514.953609529491,600.0,14107.025379097502
2022-03-01,5,243,33,1555.969043521268,600.0,3361.175497165684
2022-03-01,6,183,89,1206.9805737655524,600.0,2419.460244599716
2022-03-01,7,97,270,3023.556025820993,600.0,10194.01992189393
2022-03-01,8,321,20,1730.3816999599935,600.0,4393.057975546871
2022-03-01,9,355,21,7804.232556447742,480.0,14829.067808834368
2022-03-01,10,91,29,3968.431659759429,480.0,7169.8562657392395
2022-03-01,11,1582,625,4026.0727853585568,360.0,6948.953295982913
2022-03-01,12,1198,1205,3578.7367464634185,360.0,3918.8934485559594
2022-03-01,13,141,330,2394.7522850580062,600.0,8126.631762225996
2022-03-01,14,66,139,4609.626145771796,600.0,14902.742197960342
2022-03-01,15,930,730,3792.2576141481536,360.0,4265.291251007516
2022-03-01,16,101,297,6369.225844202635,480.0,11585.80689305282
2022-03-01,17,1003,603,10049.953988288762,360.0,20290.52862778658
2022-03-01,18,482,278,10385.632732734177,360.0,20642.813200690227
2022-03-01,19,276,206,5260.990066086062,480.0,9983.001990535315
2022-03-01,20,301,342,3760.3323510633154,480.0,6510.258799553574
2022-03-01,21,169,301,618.9950070055129,600.0,1150.3255463515427
2022-03-01,22,88,102,1326.2273039968832,600.0,3340.5308853375495
2022-03-01,23,532,1037,2704.3173858574683,360.0,4612.893410004378
2022-03-01,24,309,57,5367.784612503536,480.0,9563.197711376615
2022-03-01,25,273,159,3731.310681133602,480.0,6423.714747166685
2022-03-01,26,371,194,3165.2661132203143,480.0,5525.1273484588655
2022-03-01,27,1239,585,3710.873122318068,360.0,5773.305440420315
2022-03-01,28,1254,1244,8227.265010511937,360.0,15896.110877386396
2022-03-01,29,344,80,2560.8178151479074,480.0,4384.271359275824
2022-03-01,30,284,1119,464.2266316150438,600.0,277.8418259110494
2022-03-01,31,810,932,10071.359749921836,360.0,12774.961278995877
2022-03-01,32,1146,832,3610.9849536503657,360.0,6266.353330345578
2022-03-01,33,1397,803,7559.707476730251,360.0,13832.979678733014
2022-03-01,34,145,319,1193.113625601102,600.0,3869.5814696711655
2022-03-01,35,215,294,881.5947726602667,600.0,1664.4242667107253
2022-03-01,36,111,212,8881.463410418535,480.0,17204.05154543371
2022-03-01,37,1080,367,3548.6818983672233,360.0,5607.644541265697
2022-03-01,38,1216,1022,2840.855127576556,360.0,5056.275912871236
2022-03-01,39,188,171,2663.647482177713,600.0,7478.307837821065
2022-03-01,40,977,228,561.7624625213725,600.0,743.1886241542178
2022-03-01,41,245,54,1048.7413893278008,600.0,2098.713867497713
2022-03-01,42,1471,723,3365.330435559162,360.0,6048.754533641604
2022-03-01,43,934,1019,7236.253644656383,360.0,13691.106655425252
2022-03-01,44,,850,2132.6328062376338,600.0,0.0
2022-03-01,45,955,286,9904.55903240453,360.0,18270.05087553331
2022-03-01,46,985,1228,3082.562895748401,360.0,5663.271499607953
2022-03-01,47,58,222,3091.1315544851955,480.0,5315.004072497785
2022-03-01,48,115,66,3034.170132424437,480.0,5079.638132143254
2022-03-01,49,1247,1024,8898.27235729179,360.0,17133.35882827547
2022-03-01,50,279,112,2699.572171412265,480.0,4805.486380919132
2022-03-01,51,90,24,7952.773703103371,480.0,15288.431092297928
2022-03-01,52,336,192,870.0256050950749,600.0,2003.3125651908852
2022-03-01,53,1599,1211,2833.375114891285,360.0,4657.901480575609
2022-03-01,54,196,71,3918.9044148059597,600.0,13707.419338126238
2022-03-01,55,92,38,1323.1921581448398,600.0,2646.061095021794
2022-03-01,56,44,128,1880.4448188204499,600.0,4864.082372305768
2022-03-01,57,16,76,6839.054037164911,480.0,12929.664308402067
2022-03-01,58,682,549,8930.24946494613,360.0,15023.90169831752
2022-03-01,59,1165,581,7186.735599358169,360.0,11161.682850841205
2022-03-01,60,266,305,2706.20963480078,480.0,4650.742456472184
2022-03-01,61,22,214,2999.1780958173713,480.0,4969.9764974488535
2022-03-01,62,352,202,4600.589166991457,480.0,8374.830282475448
2022-03-01,63,17,115,2885.3561549547344,480.0,4815.967652352773
2022-03-01,64,320,273,2641.5622728815692,480.0,4441.051214208504
2022-03-01,65,365,359,2859.765476752847,480.0,4711.710469073989
2022-03-01,66,190,267,3082.2453411237725,600.0,10089.889840603542
2022-03-01,67,33,82,2977.927365300838,480.0,4776.474636198804
2022-03-01,68,109,161,2569.0177851955423,480.0,4217.780120905951
2022-03-01,69,192,347,1940.5634540345147,600.0,5904.074777160611
2022-03-01,70,74,132,1195.7304380592213,600.0,2820.4414414474245
2022-03-01,71,322,138,1234.817466640003,600.0,2772.6482109057283
2022-03-01,72,1269,385,6403.202613740463,360.0,10490.05152581056
2022-03-01,73,73,50,4671.364037148644,480.0,8098.2175971461875
2022-03-01,74,1085,258,967.1025625670698,600.0,1759.2329731614864
2022-03-01,75,325,125,973.9987670738403,600.0,2348.7514880697045
2022-03-01,76,76,252,2522.202622331031,480.0,4268.674037094019
2022-03-01,77,134,269,2588.5589763658027,480.0,4110.431796904582
2022-03-01,78,641,466,9089.550164551545,360.0,14239.911187980608
2022-03-01,79,764,454,3724.0380289767195,360.0,6332.386411619361
2022-03-01,80,28,358,2453.8131729368506,480.0,4101.579960316473
2022-03-01,81,257,323,3210.538097210457,600.0,10191.335964023418
2022-03-01,82,202,207,3858.6834809828742,600.0,12282.80368681569
2022-03-01,83,910,1033,3203.810811218569,360.0,3754.8029174497206
2022-03-01,84,298,69,2709.429656880773,480.0,4307.807494970395
2022-03-01,85,349,166,2478.891198343776,480.0,3973.5778136219988
2022-03-01,86,288,357,2735.0040265726225,480.0,4282.817979088549
2022-03-01,87,905,5,1260.929777335289,600.0,2800.564522880123
2022-03-01,88,1163,122,1395.6976773603085,600.0,2824.312079575937
2022-03-01,89,577,760,3342.8022255506585,360.0,5064.16060765544
2022-03-01,90,771,630,3463.0952834408563,360.0,3895.705170979614
2022-03-01,91,1050,104,1174.365633971997,600.0,2385.5697158987864
2022-03-01,92,106,25,2417.9367515799736,480.0,3855.190577919806
2022-03-01,93,187,339,2326.457699415286,480.0,3614.9295308038313
2022-03-01,94,367,28,4507.026275246687,480.0,7907.241552944201
2022-03-01,95,121,191,1890.4173418566818,480.0,3030.9324098324696
2022-03-01,96,122,30,2399.7412604699607,480.0,3728.2903745387866
2022-03-01,97,2,354,3605.626395667283,600.0,11224.248558484565
2022-03-01,98,229,6,2424.691929380477,480.0,3726.878781252256
2022-03-01,99,93,298,3890.173335567978,480.0,6851.033136659146
2022-03-01,100,1503,402,2481.97999233352,360.0,3552.825197567012
2022-03-01,101,1591,420,3563.18333323256,360.0,6205.590429976289
2022-03-01,102,909,1256,6662.613078432876,360.0,8617.277402400608
2022-03-01,103,938,1321,6788.73827914934,360.0,12406.541603628333
2022-03-01,104,1053,97,1726.6726491976735,600.0,3944.131380283643
2022-03-01,105,154,334,1564.881004432052,600.0,4045.3225997607556
2022-03-01,106,306,336,2760.6904724346446,600.0,9291.990952385026
2022-03-01,107,206,226,2289.5358434305986,480.0,3574.3172613172865
2022-03-01,108,1195,784,3110.938849127785,360.0,4929.763003764705
2022-03-01,109,649,1141,3164.0502299068057,360.0,5583.538386493162
2022-03-01,110,679,1035,3135.7834416724477,360.0,4520.419928093335
2022-03-01,111,1057,63,888.8643396562601,600.0,1688.41794046142
2022-03-01,112,26,265,7049.526544007128,480.0,12648.74191309354
2022-03-01,113,64,344,3702.7742696893774,600.0,11703.386086139702
2022-03-01,114,148,158,6242.028008926874,480.0,11083.816388935886
2022-03-01,115,191,78,2131.124402104081,480.0,3286.547246048876
2022-03-01,116,723,960,8564.530860928371,360.0,15917.301385373166
2022-03-01,117,1034,332,2463.543276169567,600.0,8709.750588951792
2022-03-01,118,794,1174,6333.137557639633,360.0,11842.592569672537
2022-03-01,119,368,248,6575.59242050312,480.0,11225.80680546483
2022-03-01,120,307,16,1238.3551277403508,600.0,3408.598829806973
2022-03-01,121,31,4,2554.653092003559,480.0,3850.2082682586106
2022-03-01,122,569,1052,3188.095831326159,360.0,5603.753580234386
2022-03-01,123,1690,650,3188.497520908831,360.0,4934.687257666336
2022-03-01,124,1733,461,8301.85853416619,360.0,15445.682658005218
2022-03-01,125,1231,553,6633.022930582634,360.0,12802.494544200821
2022-03-01,126,1158,239,1184.07566352348,600.0,2387.6234487358593
2022-03-01,127,,1293,2542.359858887779,600.0,0.0
2022-03-01,128,281,141,2769.265790685875,600.0,8312.03458572406
2022-03-01,129,39,356,1895.5916943644058,480.0,2817.8624262096255
2022-03-01,130,54,282,1850.0601176627433,480.0,2900.625440392202
2022-03-01,131,323,328,1705.6023034080556,600.0,4172.958180897128
2022-03-01,132,168,285,5907.773977158119,480.0,10245.678814480776
2022-03-01,133,297,224,1876.9845590561536,480.0,2965.8511323148196
2022-03-01,134,965,616,3149.6425768699087,360.0,3792.9273195138067
2022-03-01,135,62,292,1247.2519388431112,600.0,3552.7429467228712
2022-03-01,136,312,320,6303.999427743334,480.0,10530.92776173311
2022-03-01,137,914,22,1231.55095400644,600.0,2863.991122185075
2022-03-01,138,209,140,1416.5807208799954,600.0,4068.1076142685097
2022-03-01,139,20,81,1727.0345042517392,600.0,4731.563125833958
2022-03-01,140,1036,839,6346.810414408581,360.0,9058.322054456128
2022-03-01,141,1167,968,3114.7044400334203,600.0,7529.192521381892
2022-03-01,142,,1293,2634.5945838745088,600.0,0.0
2022-03-01,143,1073,702,3131.0064998575012,360.0,5380.192849323944
2022-03-01,144,52,48,2085.964479184354,480.0,3032.133863308606
2022-03-01,145,906,146,946.074232427909,600.0,1910.7237798976223
2022-03-01,146,185,247,1676.5692579887036,480.0,2551.220157487684
2022-03-01,147,289,225,1806.7598895529288,480.0,2736.921542136362
2022-03-01,148,1076,824,5868.995441023804,360.0,8088.374710774035
2022-03-01,149,924,72,1667.044654994442,600.0,3273.6793468395426
2022-03-01,150,1129,434,5998.491728709676,360.0,6587.779590640722
2022-03-01,151,1157,26,2209.5138546768485,360.0,3343.6276127429483
2022-03-01,152,14,217,1895.8520835779193,480.0,2828.371942009501
2022-03-01,153,152,119,1257.7943257929498,600.0,3109.4334506372315
2022-03-01,154,,1127,2385.6536023925732,600.0,0.0
2022-03-01,155,1180,697,7155.064758722131,360.0,13519.654916276631
2022-03-01,156,184,203,1953.2229452067882,480.0,2833.4096321362736
2022-03-01,157,704,503,7948.320170199026,360.0,12205.14795828911
2022-03-01,158,1,256,5627.02162214991,480.0,9229.066135249723
2022-03-01,159,712,658,3104.3861633733018,360.0,3834.4317983206165
2022-03-01,160,991,1303,5449.556504101199,360.0,10156.063849284374
2022-03-01,161,,1292,2492.9328615433305,600.0,0.0
2022-03-01,162,193,133,980.1338978564983,600.0,2358.524165133993
2022-03-01,163,992,576,2694.1390446344753,360.0,4848.995777504698
2022-03-01,164,263,18,3089.4093098379353,600.0,8316.2667995619
2022-03-01,165,147,322,3885.8981042322157,600.0,12132.23177568345
2022-03-01,166,171,7,1808.624753223214,480.0,2686.734589315195
2022-03-01,167,137,83,906.764800948809,600.0,2303.8167045388172
2022-03-01,168,308,345,5734.303219778456,480.0,9275.45384010433
2022-03-01,169,153,100,2374.4084972309083,480.0,3668.032416964252
2022-03-01,170,967,611,5998.240389316002,360.0,10941.908600238656
2022-03-01,171,1069,1138,2853.748954549335,360.0,4545.677335695637
2022-03-01,172,213,190,4864.293896964767,480.0,8085.95808128067
2022-03-01,173,180,193,5042.186685019904,600.0,15716.90449673778
2022-03-01,174,203,151,2161.8573945045937,600.0,4945.209698112939
2022-03-01,175,272,232,2827.87334435302,480.0,4201.869283028766
2022-03-01,176,12,353,2973.698069511726,600.0,8341.223141629136
2022-03-01,177,189,156,2636.621970382704,480.0,3971.003167232
2022-03-01,178,30,12,3885.676455702321,600.0,11618.738661298203
2022-03-01,179,280,300,1917.759071302212,600.0,4270.878000907737
2022-03-01,180,180,251,2665.8579208006345,360.0,3989.5645007170515
2022-03-01,181,126,314,1743.127397378667,600.0,3995.105552919933
2022-03-01,182,151,108,1513.8542693897787,600.0,3542.4949511672653
2022-03-01,183,30,1217,7283.84063032177,360.0,13628.639361505042
2022-03-01,184,186,201,1577.609879523957,600.0,3725.9497364337026
2022-03-01,185,30,1296,4047.884789415384,360.0,6768.433295358801
2022-03-01,186,135,9,3944.7011481862883,600.0,12205.87673690913
2022-03-01,187,135,493,3005.296088904577,360.0,4555.591386807352
2022-03-01,188,378,169,4845.038075148435,600.0,16861.41552267256
2022-03-01,189,378,836,7572.914642817253,360.0,13678.538059560022
